comm_id,name,cntr_code,osm_id_commune,osm_name,osm_role_point,lon,lat,NUTS23_id,osm_id_NUTS23
FR3162107345,Fontaine-l'Étalon,FR,1235972,Fontaine-l'Étalon,admin_centre,2.062972,50.304808,FR302,7394
FR3162107346,Fortel-en-Artois,FR,1235974,Fortel-en-Artois,admin_centre,2.224950,50.258340,FR302,7394
FR3162143367,Gauchin-Verloingt,FR,1235975,Gauchin-Verloingt,admin_centre,2.312410,50.395392,FR302,7394
FR3162120406,Hamelincourt,FR,1235978,Hamelincourt,admin_centre,2.797480,50.183289,FR302,7394
FR3162501471,Inghem,FR,1235992,Inghem,admin_centre,2.243240,50.668344,FR302,7394
FR3162140465,Humbercamps,FR,1236000,Humbercamps,admin_centre,2.574128,50.184811,FR302,7394
FR3162437196,La Calotterie,FR,1236005,La Calotterie,admin_centre,1.726325,50.475205,FR302,7394
FR3162108507,Liencourt,FR,1236013,Liencourt,admin_centre,2.454496,50.271114,FR302,7394
FR3162534613,Nielles-lès-Bléquin,FR,1236014,Nielles-lès-Bléquin,admin_centre,2.030379,50.673466,FR302,7394
FR3162107683,Quœux-Haut-Maînil,FR,1236015,Quœux-Haut-Maînil,admin_centre,2.109808,50.299738,FR302,7394
FR3162426743,Sainte-Austreberthe,FR,1236019,Sainte-Austreberthe,admin_centre,2.045832,50.363052,FR302,7394
FR3159416018,Arnèke,FR,123869,Arnèke,admin_centre,2.410652,50.831451,FR301,7400
FR2108206234,Inaumont,FR,1238838,Inaumont,admin_centre,4.314855,49.558792,FR211,7395
FR2108414147,Dricourt,FR,1241532,Dricourt,admin_centre,4.512760,49.395785,FR211,7395
FR2108414455,Tourcelles-Chaumont,FR,1241533,Tourcelles-Chaumont,admin_centre,4.605093,49.401401,FR211,7395
FR2108414309,Mont-Saint-Remy,FR,1241534,Mont-Saint-Remy,admin_centre,4.481855,49.388531,FR211,7395
FR2108402134,Coulommes-et-Marqueny,FR,1241535,Coulommes-et-Marqueny,admin_centre,4.579082,49.435480,FR211,7395
FR2108414338,Pauvres,FR,1241536,Pauvres,admin_centre,4.491523,49.411012,FR211,7395
FR2108414250,Leffincourt,FR,1241537,Leffincourt,admin_centre,4.545458,49.387454,FR211,7395
FR2108213484,Ville-sur-Retourne,FR,1242206,Ville-sur-Retourne,admin_centre,4.446612,49.396174,FR211,7395
FR2108213066,Bignicourt,FR,1242207,Bignicourt,admin_centre,4.425314,49.398676,FR211,7395
BE273098,Wellen,BE,1243514,Wellen,admin_centre,5.337092,50.841495,BE22,53142
BE273009,Borgloon / Looz,BE,1243518,Borgloon,admin_centre,5.343570,50.802453,BE22,53142
BE273032,Hoeselt,BE,1243560,Hoeselt,admin_centre,5.486531,50.850079,BE22,53142
BE271011,Diepenbeek,BE,1243777,Diepenbeek,admin_centre,5.420031,50.907849,BE22,53142
BE273040,Kortessem,BE,1243779,Kortessem,admin_centre,5.386572,50.860003,BE22,53142
BE273083,Tongeren / Tongres,BE,1244996,Tongeren,admin_centre,5.464813,50.781015,BE22,53142
