"","id","x","y"
"270","SK003",19.22998689,48.76069019
"271","SK004",18.1091272,48.30457627
"272","SK005",21.21335425,48.98922756
"273","SK006",18.77296926,49.17322795
"274","SK007",17.54331984,48.43278662
"275","SK008",18.04966487,48.88481955
"276","UK001",0.03513466,51.53067121
"277","UK002",-1.8424495,52.52612564
"278","UK004",-4.04275716,55.73932504
"279","UK006",-2.92317546,53.44373279
"280","UK007",-3.09931804,55.90150162
"281","UK008",-2.28473521,53.51522234
"282","UK009",-3.34311314,51.57696031
"283","UK010",-1.5799263,53.3876962
"284","UK011",-2.56872216,51.4439448
"285","UK012",-5.97783373,54.58651359
"286","UK013",-2.08110122,55.06889315
"287","UK014",-1.14434778,52.60417367
"288","UK015",-7.20961984,54.94899574
"289","UK016",-2.61772977,57.23932402
"290","UK017",0.08375202,52.17424527
"291","UK018",-3.47207286,50.76243788
"292","UK019",-0.50525977,53.22909084
"293","UK022",-3.08424316,53.09237659
"294","UK023",-1.11735838,50.83912639
"295","UK024",-2.1883733,52.17382189
"296","UK025",-1.45519048,52.3735804
"297","UK026",-0.48814165,53.87127168
"298","UK027",-2.08176908,53.05226952
"299","UK028",-2.1683751,52.62006544
"300","UK029",-1.14454409,52.95724804
"301","UK201",-1.7125209,53.90947704
"302","IE001",-6.06355292,53.40491886
"303","IE001",-6.01678805,53.49107862
"304","IE001",-6.58867218,53.30577825
"305","IE003",-8.67970308,52.66298867
"306","IE002",-8.53388266,51.68303221
"307","IE002",-8.28610806,51.83393132
"308","IE002",-8.480008,51.93488003
"309","DE505",12.91213784,50.82677666
"310","DE507",6.1084243,50.75996331
"311","DE513",9.4595477,51.31090655
"312","DE517",8.0479265,52.27737866
"313","DE523",8.75447292,51.73045127
"314","DE527",8.60032884,53.54617585
"315","DE530",7.22269053,51.18266317
"316","DE532",9.9502154,48.3910392
"317","DE534",11.39528958,48.75508975
"318","DE535",12.083096,50.89432214
"319","DE537",9.1896814,48.49380555
"320","DE539",14.36820095,51.77822425
"321","DE544",12.48067835,50.72727061
"322","ES502",-8.42263977,43.34652264
"323","ES506",-0.99008219,37.63917923
"324","ES515",-3.68144781,42.35135861
"325","ES516",-5.68018959,40.96175805
"326","ES520",-0.04536098,39.99797916
"327","ES522",-6.26676527,36.4939184
"328","ES523",-5.57569763,42.58807359
"329","ES525",1.26159179,41.13131215
"330","ES527",-3.7508379,37.80958706
"331","ES529",-7.89120182,42.35116277
"332","ES532",-5.47936107,36.10695601
"333","FR010",3.88897912,43.61550042
"334","FR011",4.46793692,45.47025103
"335","FR029",-61.50298334,16.27160106
"336","FR031",-52.50062528,4.56193974
"337","FR202",5.47663787,43.55959852
"338","FR205",7.22454947,43.7613701
"339","IT502",11.08448068,43.87781367
"340","IT503",10.32797469,44.79335538
"341","IT505",10.63418706,44.6970958
"342","IT507",11.64887557,44.82336169
"343","IT509",15.21419624,37.03972742
"344","IT512",12.05029841,44.22714801
"345","IT514",11.5544257,45.54479788
"346","IT516",8.615628,45.43972482
"347","LT501",21.1520183,55.70783665
"348","NL501",4.64692599,52.38357562
"349","NL503",5.32382979,51.71541477
"350","NL505",5.70064136,50.85374789
"351","NL507",4.48536673,52.15473082
"352","NL510",6.96146117,52.74968735
"353","NL512",5.72729841,52.07597723
"354","NL514",4.75208867,52.63816555
"355","NL516",5.65761715,51.47647223
"356","NL519",6.65858416,52.34819622
"357","PL506",19.03882384,49.81256203
"358","PL511",16.28937732,50.78550382
"359","PL513",19.05789712,52.66147642
"360","PL517",18.77349712,53.47216479
"361","PT505",-8.31536734,41.46064367
"362","PT507",-8.50341755,41.40876843
"363","PT509",-8.62403001,41.53703127
"364","PT511",-8.80268135,39.7893548
"365","SE502",16.28623133,58.59781399
"366","UK506",-1.09618894,53.54406265
"367","UK515",-0.13375425,50.84441389
